Product_ID,Product_Name,Brand,Warranty_Period_Months,Category
P9324,Test Bank,Gordon-Sloan,6,Home Appliances
P5660,Maintain Right,"Perez, Patton and Cameron",6,Clothing
P9761,Enough Site,Baldwin-Hood,6,Home Appliances
P1906,Summer Student,Jones Ltd,12,Electronics
P4631,Ago Your,Erickson-Riley,6,Books
P8448,Purpose Even,"Mercer, Ortiz and Edwards",6,Home Appliances
P6174,Return Wide,Aguilar Inc,12,Clothing
P4204,Home Million,Hill-Hill,24,Books
P8418,Consumer Ago,"Frost, Simmons and Johnson",24,Sports Equipment
P1934,Short Hope,"Henry, Harper and Reid",12,Sports Equipment
P2630,Science Figure,Bennett-Morris,24,Electronics
P7001,Stage Film,"Pittman, Burnett and Franklin",6,Sports Equipment
P5743,Some Few,"Reed, West and Bell",36,Sports Equipment
P6997,Continue Real,Roberson PLC,36,Home Appliances
P9875,Trouble Situation,Rhodes-Garcia,6,Books
P4784,Ready Good,Gonzalez-Johnson,6,Clothing
P3299,Police Thank,Nelson-Nelson,24,Sports Equipment
P9339,Assume Try,Townsend-Fletcher,12,Home Appliances
P1823,Condition Finish,Payne-Maldonado,36,Sports Equipment
P3306,Quality Rather,Long-Day,6,Sports Equipment
P4643,Image Under,Brandt-Fischer,12,Books
P5070,Sport Very,Dyer Inc,12,Sports Equipment
P8501,Rule Brother,"Jennings, West and Rogers",6,Home Appliances
P1198,Role Focus,Harmon Inc,12,Electronics
P9037,Same Politics,Brown Ltd,36,Sports Equipment
P9618,Million Control,Wiley Inc,36,Electronics
P4291,Politics Even,"Davenport, Martinez and Miles",12,Sports Equipment
P6670,School Design,"Andrews, Hawkins and Garcia",6,Home Appliances
P4658,Paper Some,Nguyen-Coleman,12,Sports Equipment
P9276,Population Nor,Gordon-Mcmillan,24,Sports Equipment
P1910,Camera Wish,Todd-Gonzalez,6,Books
P7236,None Reality,"Ramirez, Garcia and King",6,Home Appliances
P5876,Box Between,"Jackson, Stewart and Williams",6,Home Appliances
P9854,Although Medical,"Tate, Stephens and Pierce",36,Sports Equipment
P9422,Whose Life,"Short, Smith and Hammond",6,Home Appliances
P9714,Particularly Paper,Thompson and Sons,6,Home Appliances
P2212,Pretty Sign,Bush-Hudson,36,Home Appliances
P3884,Decide Support,"Ramos, Tucker and Wilson",36,Books
P5637,Always Thing,Lopez-Baker,36,Clothing
P6975,Increase Cover,"Miller, Gibbs and Knox",6,Home Appliances
P7667,Move Tax,Conley and Sons,6,Home Appliances
P2341,Attention Without,"May, Casey and Ibarra",36,Home Appliances
P9600,Participant Machine,"Edwards, Scott and Cline",36,Books
P8874,Thus City,"Clarke, Garcia and Ward",24,Clothing
P5456,Benefit Face,Murray-King,36,Sports Equipment
P1121,Follow Method,Mclaughlin-Hale,12,Sports Equipment
P9196,Office Lose,Patterson-Garcia,24,Electronics
P7621,Understand Against,Ellis Ltd,36,Home Appliances
P9557,Point Difference,Bell and Sons,36,Home Appliances
P4067,Trip Industry,Herring PLC,36,Clothing
P3950,Yeah Me,"Hernandez, Hall and Williams",36,Sports Equipment
P7883,Career House,"Aguilar, House and Dean",12,Books
P4068,About Maintain,"Mccormick, Singleton and Brown",36,Books
P8450,Car Smile,Ortiz-Santos,6,Books
P5398,Management Break,"Larson, Wilkins and Yang",24,Home Appliances
P5131,Girl Year,Shaw-Weiss,36,Books
P3218,Investment Yes,Stark LLC,6,Electronics
P8786,Laugh Occur,"Cervantes, Nelson and Morgan",12,Clothing
P4947,Brother Responsibility,Hudson and Sons,24,Home Appliances
P3691,Small Office,Kelley Inc,36,Electronics
P6657,Rule Pressure,"Cole, Barrera and Mason",24,Sports Equipment
P9113,Fine Close,Phillips-Baker,36,Sports Equipment
P1636,Dinner Provide,Bryant-Braun,12,Clothing
P9927,According Teach,Davis PLC,12,Electronics
P1026,Job Alone,Woods Inc,24,Sports Equipment
P6621,Consider Decade,West PLC,24,Home Appliances
P9724,Ok Rather,Miller-Winters,24,Clothing
P4181,Summer Together,Williams-Melton,12,Sports Equipment
P6867,Include But,"Weaver, Rogers and Green",6,Clothing
P7089,Expect Toward,"Oneill, Johnson and Jones",24,Electronics
P4573,Case Close,Farrell-Lawrence,36,Home Appliances
P5814,Boy Subject,Hudson Inc,12,Clothing
P2295,Author Myself,Mendez Inc,24,Home Appliances
P9535,Daughter Information,Moore and Sons,12,Clothing
P9027,Source About,"Knight, Smith and Greene",24,Home Appliances
P5501,Available While,Diaz Group,12,Books
P3293,Similar Ok,"Martin, Clayton and Cook",12,Home Appliances
P8176,Soon Rich,Parks-Serrano,24,Electronics
P3848,Change Offer,Castro-Ramsey,36,Sports Equipment
P5506,Election Specific,Miller Ltd,12,Sports Equipment
P5461,Maybe Local,Hood LLC,36,Clothing
P2725,Measure Successful,Shields-Green,36,Clothing
P1710,Summer Old,Harris-Anderson,12,Sports Equipment
P2143,Firm Memory,Durham-Horne,12,Sports Equipment
P7658,Their Guess,Bailey-Owen,12,Electronics
P8430,Shoulder Soldier,"Rios, Harrison and Cox",36,Electronics
P6530,Themselves Would,Moore Group,12,Sports Equipment
P7272,Image Statement,Miller-Williams,12,Home Appliances
P6176,Investment Both,Gonzalez-Spencer,12,Home Appliances
P7857,Laugh Require,Ayala-Hubbard,12,Electronics
P8584,Attorney Across,Jones PLC,24,Home Appliances
P8129,Race Newspaper,"Butler, Cohen and Mccormick",12,Books
P5745,Factor Color,Gregory Ltd,36,Electronics
P1707,Just Decision,Harris-Johnson,36,Sports Equipment
P2711,Organization Window,Vazquez and Sons,6,Sports Equipment
P9109,Represent Mean,Mathews-Aguilar,24,Books
P7690,Still Home,Rivera Ltd,24,Books
P5563,Exist Board,"Garrett, West and Wright",6,Clothing
P8619,Live Same,Munoz-Castillo,36,Sports Equipment
P3206,Finish Evidence,Marsh and Sons,36,Electronics
