Customer_ID,Age,Gender,Education_Level,Monthly_Spend,Tenure_Years,Support_Tickets_Raised,City_Tier,Used_App_Last_Month,Customer_Churn
CUST00001,63,Male,PhD,3086.33,7,2,1,Yes,0
CUST00002,20,Male,Master's,4445.83,0,0,2,No,0
CUST00003,46,Male,Master's,5122.69,1,3,1,No,0
CUST00004,52,Female,PhD,5380.49,7,4,2,Yes,0
CUST00005,56,Male,Master's,5023.28,2,3,2,Yes,0
CUST00006,35,Male,High School,2379.39,3,0,2,Yes,0
CUST00007,37,Male,Bachelor's,4052.72,5,2,2,Yes,0
CUST00008,60,Female,High School,3014.09,5,2,3,Yes,1
CUST00009,40,Male,High School,4610.4,0,0,2,Yes,1
CUST00010,51,Female,Master's,4717.6,2,0,1,No,1
CUST00011,50,Female,High School,3859.76,5,6,1,Yes,0
CUST00012,27,Female,Master's,3470.15,8,4,2,Yes,0
CUST00013,50,Female,PhD,2913.49,9,1,1,Yes,0
CUST00014,64,Male,Bachelor's,6282.26,7,0,1,No,0
CUST00015,50,Female,High School,5831.71,9,2,1,No,0
CUST00016,43,Female,PhD,1704.17,7,4,1,Yes,0
CUST00017,37,Female,Master's,5492.81,4,2,1,No,0
CUST00018,32,Female,Master's,3290.5,5,2,1,Yes,0
CUST00019,54,Male,High School,6361.85,1,5,3,Yes,1
CUST00020,50,Male,PhD,2866.77,8,1,1,Yes,1
CUST00021,34,Female,PhD,5586.67,6,3,2,Yes,0
CUST00022,22,Female,Master's,6037.57,8,0,2,Yes,0
CUST00023,21,Female,Bachelor's,4875.65,4,1,1,Yes,0
CUST00024,20,Female,High School,5812.37,2,3,1,No,0
CUST00025,38,Female,Bachelor's,4488.58,7,2,1,No,0
CUST00026,57,Male,High School,6323.91,1,1,3,Yes,0
CUST00027,20,Male,PhD,4654.18,6,1,3,Yes,0
CUST00028,38,Female,Bachelor's,5069.0,2,0,2,Yes,0
CUST00029,25,Female,Master's,4888.11,6,4,2,Yes,0
CUST00030,59,Female,Master's,4830.76,5,5,1,Yes,0
CUST00031,53,Male,Master's,4513.38,6,2,2,No,0
CUST00032,46,Female,PhD,6338.05,0,5,3,Yes,0
CUST00033,56,Male,Master's,8515.21,3,2,2,No,0
CUST00034,51,Male,PhD,7062.57,2,4,2,No,0
CUST00035,39,Male,PhD,5573.71,2,3,3,Yes,0
CUST00036,48,Female,Master's,2816.87,9,2,3,Yes,0
CUST00037,45,Female,Master's,3092.9,7,1,1,No,1
CUST00038,52,Female,Bachelor's,6521.41,5,1,2,Yes,1
CUST00039,51,Male,High School,3062.52,5,0,3,Yes,0
