Customer_ID,Age,Years_of_Experience,Education_Level,City_Tier,Monthly_Internet_Usage_GB,Customer_Satisfaction_Score,Estimated_Annual_Salary
CUST0001,50,0,Bachelor's,3,94.0,7,23361
CUST0002,36,34,Master's,1,92.0,1,61543
CUST0003,29,13,Master's,1,70.4,3,41135
CUST0004,42,2,PhD,2,38.1,9,28626
CUST0005,40,0,PhD,2,71.6,1,25398
CUST0006,44,4,Bachelor's,1,82.8,9,30833
CUST0007,32,25,PhD,3,80.0,8,55997
CUST0008,32,13,High School,1,95.1,1,30755
CUST0009,45,26,PhD,1,118.7,6,60653
CUST0010,57,8,PhD,3,88.3,5,38347
CUST0011,45,14,High School,2,91.4,6,37538
CUST0012,24,14,Bachelor's,3,83.0,10,37203
CUST0013,43,25,High School,1,103.4,5,51182
CUST0014,23,12,PhD,2,90.6,6,47266
CUST0015,45,31,Bachelor's,2,95.0,5,53253
CUST0016,51,31,PhD,3,116.2,5,63915
CUST0017,59,3,High School,1,84.5,4,24936
CUST0018,23,29,High School,1,74.6,3,53106
CUST0019,42,22,PhD,1,88.9,3,49105
CUST0020,54,14,Master's,1,102.7,4,42058
CUST0021,33,28,Master's,1,90.0,9,57175
CUST0022,43,12,High School,1,101.2,2,26724
CUST0023,46,31,High School,1,66.6,9,47450
CUST0024,48,6,Master's,3,62.6,1,25882
CUST0025,49,21,Master's,3,69.1,1,46192
CUST0026,37,27,PhD,1,54.7,5,59153
CUST0027,36,1,PhD,1,82.2,6,35507
CUST0028,24,5,Master's,2,71.4,6,31222
CUST0029,58,27,PhD,1,104.6,3,61886
CUST0030,28,27,PhD,1,54.2,7,52860
CUST0031,42,19,Bachelor's,1,111.1,9,36890
CUST0032,30,29,PhD,1,60.4,10,58833
CUST0033,39,10,High School,3,55.2,8,31152
CUST0034,25,27,PhD,1,63.5,6,56902
CUST0035,46,24,PhD,2,119.0,8,47798
CUST0036,35,32,Master's,2,79.2,5,57733
CUST0037,30,0,High School,1,90.6,8,16087
CUST0038,47,26,PhD,1,76.3,10,58009
CUST0039,23,12,PhD,1,78.2,4,43100
CUST0040,41,2,Bachelor's,2,69.9,10,22180
CUST0041,49,5,PhD,1,81.0,8,33458
CUST0042,28,7,PhD,1,89.9,10,33822
CUST0043,29,26,Bachelor's,2,113.6,2,48812
CUST0044,56,8,Master's,1,42.5,5,36865
CUST0045,35,32,PhD,1,112.2,9,59043
CUST0046,38,23,Bachelor's,1,90.6,4,47512
CUST0047,57,14,High School,1,72.6,6,32409
CUST0048,25,31,Master's,3,69.0,1,54621
CUST0049,23,31,High School,1,100.9,9,50679
CUST0050,27,23,High School,2,84.6,1,39894
CUST0051,25,11,Bachelor's,1,49.3,5,32339
CUST0052,50,1,PhD,2,87.3,4,27406
CUST0053,39,2,Bachelor's,1,102.9,3,30894
CUST0054,47,16,Bachelor's,1,97.2,6,39106
CUST0055,55,1,Bachelor's,3,67.5,2,21901
CUST0056,31,1,Bachelor's,3,53.2,3,24642
CUST0057,57,27,Master's,3,73.5,5,52663
CUST0058,35,22,PhD,1,145.1,9,51337
CUST0059,52,31,High School,1,49.1,2,52843
CUST0060,36,32,High School,1,63.1,10,54273
CUST0061,29,0,PhD,2,87.8,8,28408
CUST0062,35,18,High School,1,77.5,2,36273
CUST0063,44,1,PhD,3,76.0,5,30175
CUST0064,42,25,High School,1,120.5,7,38094
CUST0065,37,31,Bachelor's,3,62.9,8,49454
CUST0066,39,5,High School,1,79.7,1,29101
CUST0067,45,31,PhD,3,84.0,6,65935
CUST0068,47,3,PhD,1,63.9,1,32253
CUST0069,46,10,PhD,1,51.2,2,41730
CUST0070,50,16,PhD,2,85.4,1,46934
CUST0071,36,23,PhD,1,116.3,5,62237
CUST0072,22,4,Master's,1,88.1,10,33359
CUST0073,46,33,Master's,3,81.8,9,58616
CUST0074,28,5,High School,2,81.7,6,22133
CUST0075,30,21,PhD,1,74.8,1,46181
CUST0076,45,10,High School,1,103.7,1,30610
CUST0077,22,15,PhD,1,69.9,2,42731
CUST0078,29,32,PhD,2,52.9,9,57733
CUST0079,45,8,Master's,1,48.4,3,32060
CUST0080,32,5,Master's,1,81.6,1,27755
CUST0081,38,15,Bachelor's,1,101.2,5,43061
CUST0082,29,28,Master's,1,84.7,7,56645
CUST0083,56,2,Bachelor's,2,73.7,6,24976
CUST0084,56,19,Bachelor's,1,89.2,1,46440
CUST0085,54,18,Bachelor's,3,83.7,5,41232
CUST0086,26,25,Bachelor's,1,96.5,5,45416
CUST0087,49,2,Bachelor's,1,106.5,6,29569
CUST0088,28,18,High School,1,60.9,3,39617
CUST0089,30,19,Master's,1,33.2,5,41888
CUST0090,29,31,Bachelor's,3,73.0,7,53429
CUST0091,33,6,PhD,2,59.6,5,33373
CUST0092,55,32,Master's,2,96.6,5,53852
CUST0093,54,17,Master's,2,65.5,5,45779
CUST0094,44,0,Bachelor's,1,42.5,10,28728
CUST0095,45,10,High School,2,68.5,10,25804
CUST0096,58,27,Bachelor's,1,50.2,3,51689
CUST0097,56,24,High School,2,111.8,1,42048
CUST0098,43,22,PhD,1,89.4,5,50539
CUST0099,48,30,Master's,1,93.0,9,54223
CUST0100,56,29,PhD,1,90.7,1,56408
